id,ts,amount,currency,channel,upi_id_masked,description,user_id
TXN00002279,2024-03-30T20:39:55,58.09,INR,GPay,943130@ibl,Debited Rs 58.09 to 943130@ibl. Ref:194788222227,user_0066
TXN00001590,2025-03-17T18:51:56,99.7,INR,UPI,433717@okaxis,Debited Rs 99.70 to 433717@okaxis. Ref:993402425303,user_0447
TXN00004767,2024-08-25T18:58:52,119.98,INR,Paytm,986634157@ibl,"UPI Dr to 986634157@ibl, Rs 119.98. Ref 150383593435.",user_0167
TXN00000545,2025-01-13T19:23:40,414.52,INR,Paytm,177350@airtelpaymentsbank,Payment Rs 414.52 to 177350@airtelpaymentsbank. TXN 561351923247,user_0079
TXN00000663,2025-11-25T06:57:34,210.52,INR,UPI,803409@paytm,Txn to 803409@paytm of Rs 210.52. Ref 149089164058.,user_0334
TXN00004438,2025-05-08T11:45:30,44.27,INR,PhonePe,923509711@okicici,Money sent to 923509711@okicici. Rs 44.27. Ref 130398683261.,user_0201
TXN00003966,2024-05-26T17:37:50,56.92,INR,PhonePe,952954204@paytm,Debited Rs 56.92 to 952954204@paytm. Ref:733992214551,user_0221
TXN00000865,2024-01-12T08:43:16,131.82,INR,PhonePe,840484@okhdfcbank,"UPI Dr to 840484@okhdfcbank, Rs 131.82. Ref 122207870289.",user_0162
TXN00003377,2025-12-02T08:02:02,1640.03,INR,Paytm,992484185@ibl,Debited Rs 1640.03 to 992484185@ibl. Ref:972494490036,user_0401
TXN00000792,2024-02-15T07:55:12,169.35,INR,UPI,840484@okhdfcbank,Payment Rs 169.35 to 840484@okhdfcbank. TXN 287937040856,user_0304
TXN00000419,2024-11-09T12:22:40,275.61,INR,Paytm,177350@airtelpaymentsbank,Debited Rs 275.61 to 177350@airtelpaymentsbank. Ref:499929546373,user_0168
TXN00003083,2025-12-09T22:57:04,1590.22,INR,Paytm,592122@ybl,Txn to 592122@ybl of Rs 1590.22. Ref 330800677582.,user_0133
TXN00000637,2024-08-30T07:31:46,94.94,INR,Paytm,803409@paytm,Money sent to 803409@paytm. Rs 94.94. Ref 799653458158.,user_0134
TXN00004141,2024-09-14T12:39:26,9376.16,INR,GPay,968609635@ibl,Txn to 968609635@ibl of Rs 9376.16. Ref 800722309445.,user_0121
TXN00002393,2024-10-05T14:14:07,298.12,INR,Paytm,528133@okaxis,Payment Rs 298.12 to 528133@okaxis. TXN 451549233490,user_0387
TXN00002561,2025-11-21T19:46:18,96.46,INR,GPay,520396@okhdfcbank,Payment Rs 96.46 to 520396@okhdfcbank. TXN 260520232851,user_0269
TXN00001116,2024-07-02T15:29:15,660.62,INR,PhonePe,807457@axl,Txn to 807457@axl of Rs 660.62. Ref 627541439710.,user_0042
TXN00004432,2024-05-08T09:24:26,521.72,INR,PhonePe,928454087@okaxis,Money sent to 928454087@okaxis. Rs 521.72. Ref 506735710011.,user_0231
TXN00004096,2025-04-02T08:33:49,1959.0,INR,Paytm,995251108@gpay,Paid Rs 1959.00 to 995251108@gpay. UTR 933627670455.,user_0231
TXN00001139,2024-05-03T08:57:15,197.87,INR,Paytm,807457@axl,Payment Rs 197.87 to 807457@axl. TXN 149464349327,user_0133
TXN00002856,2024-07-14T14:31:57,119.18,INR,UPI,257666@axl,Debited Rs 119.18 to 257666@axl. Ref:713953517845,user_0413
TXN00001808,2024-08-07T15:13:25,58.58,INR,GPay,310545@okaxis,Money sent to 310545@okaxis. Rs 58.58. Ref 886174976344.,user_0197
TXN00004746,2024-11-02T20:35:20,63.09,INR,Paytm,923838105@okhdfcbank,Debited Rs 63.09 to 923838105@okhdfcbank. Ref:537284966793,user_0436
TXN00000531,2025-12-01T18:39:32,488.66,INR,GPay,177350@airtelpaymentsbank,Txn to 177350@airtelpaymentsbank of Rs 488.66. Ref 654478517746.,user_0145
TXN00003204,2025-11-07T10:41:06,140.92,INR,GPay,209649@oksbi,Txn to 209649@oksbi of Rs 140.92. Ref 690575678304.,user_0326
TXN00003761,2024-10-30T21:27:25,292.61,INR,UPI,984358837@axl,"UPI Dr to 984358837@axl, Rs 292.61. Ref 458786935231.",user_0070
TXN00001945,2025-02-05T11:17:51,5678.5,INR,PhonePe,524409@ibl,Money sent to 524409@ibl. Rs 5678.50. Ref 741729061828.,user_0459
TXN00003544,2024-04-26T11:24:18,94.78,INR,GPay,991844188@okhdfcbank,Paid Rs 94.78 to 991844188@okhdfcbank. UTR 916980820807.,user_0276
TXN00003325,2025-07-15T22:39:25,224.85,INR,PhonePe,928793175@oksbi,"UPI Dr to 928793175@oksbi, Rs 224.85. Ref 324786807203.",user_0367
TXN00003323,2024-03-02T21:43:56,521.99,INR,GPay,928793175@oksbi,"UPI Dr to 928793175@oksbi, Rs 521.99. Ref 277516474250.",user_0496
TXN00002045,2024-07-05T16:21:58,5465.4,INR,Paytm,373554@paytm,Money sent to 373554@paytm. Rs 5465.40. Ref 962470013590.,user_0469
TXN00004761,2024-07-17T11:07:24,1649.36,INR,UPI,925465018@gpay,"UPI Dr to 925465018@gpay, Rs 1649.36. Ref 866274841945.",user_0153
TXN00004519,2025-11-30T17:18:48,152.47,INR,PhonePe,983099408@ibl,Paid Rs 152.47 to 983099408@ibl. UTR 320258705612.,user_0128
TXN00003679,2024-03-31T18:24:34,263.3,INR,GPay,974269255@gpay,Payment Rs 263.30 to 974269255@gpay. TXN 988660607930,user_0098
TXN00004091,2024-03-17T06:48:19,2510.07,INR,UPI,955303795@ibl,"UPI Dr to 955303795@ibl, Rs 2510.07. Ref 503567152934.",user_0209
TXN00000956,2025-06-27T11:48:24,218.6,INR,UPI,184759@jio,Paid Rs 218.60 to 184759@jio. UTR 301329616445.,user_0369
TXN00000548,2025-09-06T15:39:30,463.04,INR,UPI,177350@airtelpaymentsbank,"UPI Dr to 177350@airtelpaymentsbank, Rs 463.04. Ref 327206132826.",user_0499
TXN00002020,2025-06-26T10:42:07,30.96,INR,UPI,315601@axl,"UPI Dr to 315601@axl, Rs 30.96. Ref 313862125806.",user_0152
TXN00004231,2025-06-12T21:54:47,186.31,INR,Paytm,964794847@okaxis,Paid Rs 186.31 to 964794847@okaxis. UTR 713162528568.,user_0093
TXN00004134,2025-08-07T18:57:04,24313.56,INR,GPay,995119465@okicici,Money sent to 995119465@okicici. Rs 24313.56. Ref 426740246217.,user_0453
TXN00001113,2024-06-18T12:51:18,3857.26,INR,PhonePe,807457@axl,Txn to 807457@axl of Rs 3857.26. Ref 876470026611.,user_0037
TXN00004549,2025-03-08T09:58:00,84.23,INR,UPI,937946407@okicici,Txn to 937946407@okicici of Rs 84.23. Ref 984217380010.,user_0436
TXN00004007,2025-01-31T13:03:32,53.57,INR,PhonePe,941477890@axl,Txn to 941477890@axl of Rs 53.57. Ref 818309992948.,user_0154
TXN00004751,2025-09-29T13:04:42,373.11,INR,PhonePe,936897809@ybl,Payment Rs 373.11 to 936897809@ybl. TXN 467886526287,user_0335
TXN00001440,2024-11-09T20:25:20,80.43,INR,PhonePe,494990@paytm,Debited Rs 80.43 to 494990@paytm. Ref:105168046648,user_0491
TXN00000249,2024-01-09T21:39:20,34.45,INR,GPay,762176@okicici,Payment Rs 34.45 to 762176@okicici. TXN 802827091926,user_0297
TXN00002575,2024-12-20T16:17:13,261.33,INR,Paytm,693479@okhdfcbank,Paid Rs 261.33 to 693479@okhdfcbank. UTR 261472553759.,user_0275
TXN00004351,2025-09-19T15:03:22,73.68,INR,PhonePe,990332786@okicici,Money sent to 990332786@okicici. Rs 73.68. Ref 323578807727.,user_0489
TXN00001291,2025-01-25T21:36:14,440.08,INR,GPay,855772@phonepe,Money sent to 855772@phonepe. Rs 440.08. Ref 625227949533.,user_0060
TXN00004087,2025-12-18T09:40:54,68.88,INR,GPay,948925296@gpay,"UPI Dr to 948925296@gpay, Rs 68.88. Ref 429299524457.",user_0408
TXN00000930,2024-06-21T06:16:17,127.32,INR,UPI,184759@jio,Txn to 184759@jio of Rs 127.32. Ref 203540574110.,user_0135
TXN00003538,2025-02-17T10:53:39,17.92,INR,Paytm,945431795@okaxis,Money sent to 945431795@okaxis. Rs 17.92. Ref 678871616677.,user_0273
TXN00004514,2025-04-30T09:28:02,201.69,INR,Paytm,970903616@oksbi,Debited Rs 201.69 to 970903616@oksbi. Ref:780909996433,user_0086
TXN00000502,2024-04-26T19:00:44,52.18,INR,GPay,177350@airtelpaymentsbank,Debited Rs 52.18 to 177350@airtelpaymentsbank. Ref:501040026730,user_0465
TXN00002747,2025-09-02T08:01:38,457.98,INR,GPay,957608@okhdfcbank,Debited Rs 457.98 to 957608@okhdfcbank. Ref:891948925789,user_0051
TXN00004335,2025-05-19T13:04:44,50.73,INR,UPI,944820732@phonepe,Payment Rs 50.73 to 944820732@phonepe. TXN 890901959944,user_0026
TXN00002851,2024-01-18T16:46:20,1205.58,INR,Paytm,257666@axl,"UPI Dr to 257666@axl, Rs 1205.58. Ref 121789458565.",user_0138
TXN00000948,2024-06-09T15:55:41,114.12,INR,UPI,184759@jio,"UPI Dr to 184759@jio, Rs 114.12. Ref 831909624048.",user_0157
TXN00001469,2025-05-07T20:55:26,73.39,INR,Paytm,494990@paytm,Payment Rs 73.39 to 494990@paytm. TXN 570540917093,user_0447
TXN00000271,2025-05-18T18:34:42,281.32,INR,Paytm,762176@okicici,Money sent to 762176@okicici. Rs 281.32. Ref 391444302216.,user_0185
TXN00004559,2025-09-28T08:54:33,252.19,INR,UPI,991894007@okaxis,Paid Rs 252.19 to 991894007@okaxis. UTR 370555979600.,user_0165
TXN00000854,2025-07-03T12:09:34,153.2,INR,Paytm,840484@okhdfcbank,Paid Rs 153.20 to 840484@okhdfcbank. UTR 308001649803.,user_0209
TXN00002400,2025-05-01T13:19:40,41.8,INR,Paytm,832617@ibl,Money sent to 832617@ibl. Rs 41.80. Ref 778991576441.,user_0414
TXN00004184,2024-07-13T09:47:56,133.6,INR,Paytm,987269150@gpay,Paid Rs 133.60 to 987269150@gpay. UTR 857651531366.,user_0470
TXN00001678,2024-10-05T17:09:29,136.74,INR,GPay,599125@okhdfcbank,Txn to 599125@okhdfcbank of Rs 136.74. Ref 306487995108.,user_0421
TXN00003752,2025-10-13T11:20:14,134.45,INR,PhonePe,958644516@gpay,Paid Rs 134.45 to 958644516@gpay. UTR 478506394110.,user_0147
TXN00001166,2024-09-27T22:18:20,1114.17,INR,UPI,807457@axl,Payment Rs 1114.17 to 807457@axl. TXN 941837442932,user_0277
TXN00001704,2025-03-01T15:44:14,180.58,INR,GPay,872461@okicici,Txn to 872461@okicici of Rs 180.58. Ref 725534869572.,user_0205
TXN00000270,2025-09-05T11:03:13,193.88,INR,UPI,762176@okicici,"UPI Dr to 762176@okicici, Rs 193.88. Ref 787070164358.",user_0133
TXN00002266,2024-12-20T21:33:25,115.56,INR,GPay,972435@okhdfcbank,Debited Rs 115.56 to 972435@okhdfcbank. Ref:214837692773,user_0362
TXN00000530,2024-04-30T18:00:17,1792.57,INR,Paytm,177350@airtelpaymentsbank,Payment Rs 1792.57 to 177350@airtelpaymentsbank. TXN 156955270061,user_0449
TXN00003573,2025-04-01T21:57:13,56.75,INR,UPI,965626903@ibl,Debited Rs 56.75 to 965626903@ibl. Ref:598890447405,user_0123
TXN00000453,2024-09-04T09:31:39,304.17,INR,GPay,177350@airtelpaymentsbank,Payment Rs 304.17 to 177350@airtelpaymentsbank. TXN 731693548372,user_0328
TXN00002948,2024-08-13T18:52:43,28.82,INR,PhonePe,917721@ibl,Paid Rs 28.82 to 917721@ibl. UTR 603482752294.,user_0175
TXN00004404,2025-02-09T07:09:59,477.38,INR,Paytm,967501306@okaxis,Payment Rs 477.38 to 967501306@okaxis. TXN 273350697490,user_0004
TXN00004175,2024-11-20T21:45:37,508.0,INR,PhonePe,907020123@phonepe,Paid Rs 508.00 to 907020123@phonepe. UTR 592549978557.,user_0096
TXN00004380,2024-10-08T07:19:40,104.86,INR,GPay,922192808@ibl,Debited Rs 104.86 to 922192808@ibl. Ref:513934263067,user_0332
TXN00001838,2025-03-01T15:15:10,12199.98,INR,UPI,710126@paytm,Payment Rs 12199.98 to 710126@paytm. TXN 448870305422,user_0496
TXN00004631,2024-01-15T22:48:31,3997.2,INR,UPI,945619435@ybl,Debited Rs 3997.20 to 945619435@ybl. Ref:665251368283,user_0177
TXN00000452,2024-09-07T20:16:42,82.98,INR,GPay,177350@airtelpaymentsbank,Debited Rs 82.98 to 177350@airtelpaymentsbank. Ref:417869046748,user_0314
TXN00003863,2024-01-02T12:58:44,67.15,INR,GPay,993156456@okaxis,Payment Rs 67.15 to 993156456@okaxis. TXN 966461961411,user_0100
TXN00000640,2025-08-30T06:30:31,276.9,INR,GPay,803409@paytm,Payment Rs 276.90 to 803409@paytm. TXN 655275924438,user_0011
TXN00004586,2025-01-14T19:37:43,609.05,INR,UPI,972968570@paytm,Payment Rs 609.05 to 972968570@paytm. TXN 323127684342,user_0165
TXN00000685,2025-02-02T15:19:26,69.34,INR,PhonePe,803409@paytm,Money sent to 803409@paytm. Rs 69.34. Ref 160564462957.,user_0335
TXN00003352,2025-03-17T13:00:57,287.85,INR,GPay,991526690@axl,Paid Rs 287.85 to 991526690@axl. UTR 107917335300.,user_0445
TXN00002032,2025-01-01T15:14:19,867.53,INR,UPI,495651@paytm,Txn to 495651@paytm of Rs 867.53. Ref 137974174106.,user_0284
TXN00004030,2025-10-09T06:13:09,1518.6,INR,Paytm,911372882@oksbi,Txn to 911372882@oksbi of Rs 1518.60. Ref 881462340175.,user_0083
TXN00002509,2025-04-01T09:38:45,1253.0,INR,GPay,293125@okhdfcbank,Paid Rs 1253.00 to 293125@okhdfcbank. UTR 118991874164.,user_0140
TXN00001281,2024-04-27T09:07:44,1229.99,INR,PhonePe,855772@phonepe,Paid Rs 1229.99 to 855772@phonepe. UTR 456992696981.,user_0263
TXN00004157,2025-12-20T21:16:59,194.51,INR,GPay,910641953@axl,"UPI Dr to 910641953@axl, Rs 194.51. Ref 303928137520.",user_0004
TXN00004373,2025-08-27T22:49:34,73.16,INR,PhonePe,996325474@ybl,Payment Rs 73.16 to 996325474@ybl. TXN 720904226975,user_0083
TXN00001133,2025-05-05T06:06:29,363.59,INR,GPay,807457@axl,Debited Rs 363.59 to 807457@axl. Ref:489064983392,user_0161
TXN00002452,2025-01-11T20:31:40,850.8,INR,Paytm,848000@ibl,Txn to 848000@ibl of Rs 850.80. Ref 854334290501.,user_0300
TXN00004095,2025-12-03T20:44:45,1382.22,INR,GPay,995251108@gpay,"UPI Dr to 995251108@gpay, Rs 1382.22. Ref 845849022794.",user_0003
TXN00002665,2025-08-05T17:58:21,8044.29,INR,Paytm,493436@paytm,Money sent to 493436@paytm. Rs 8044.29. Ref 825619236257.,user_0110
TXN00003794,2025-03-02T13:00:58,204.08,INR,Paytm,939855250@gpay,Payment Rs 204.08 to 939855250@gpay. TXN 334234524154,user_0305
TXN00003937,2025-02-05T15:15:50,1450.75,INR,PhonePe,949580152@oksbi,Money sent to 949580152@oksbi. Rs 1450.75. Ref 592550643314.,user_0292
TXN00003935,2024-09-02T16:30:47,9018.8,INR,PhonePe,949580152@oksbi,"UPI Dr to 949580152@oksbi, Rs 9018.80. Ref 780536903860.",user_0306
TXN00001009,2025-07-30T13:22:46,664.38,INR,PhonePe,184759@jio,Txn to 184759@jio of Rs 664.38. Ref 370771973080.,user_0158
TXN00003579,2025-06-07T20:54:31,180.34,INR,UPI,960592517@gpay,"UPI Dr to 960592517@gpay, Rs 180.34. Ref 115258424474.",user_0100
TXN00002268,2024-09-23T15:14:43,551.97,INR,PhonePe,972435@okhdfcbank,Money sent to 972435@okhdfcbank. Rs 551.97. Ref 867834648532.,user_0062
